There are 5132 results in 206 pages.
Postcode 1068JA: 1875 EUR/m2 (80m2 E150000, appartement)
Postcode 1068JE: 2761 EUR/m2 (67m2 E185000, appartement)
Postcode 1060RN: 3045 EUR/m2 (87m2 E265000, appartement)
Postcode 1094KB: 4537 EUR/m2 (54m2 E245000, appartement)
Postcode 1094KS: 4296 EUR/m2 (64m2 E275000, appartement)
Postcode 1052KP: 4565 EUR/m2 (69m2 E315000, appartement)
Postcode 1052KM: 5219 EUR/m2 (91m2 E475000, appartement)
 - Running average after this page is 3789
Postcode 1025AK: 3571 EUR/m2 (28m2 E100000, appartement)
Postcode 1025AN: 2335 EUR/m2 (85m2 E198500, appartement)
Postcode 1087KC: 2674 EUR/m2 (86m2 E230000, appartement)
Postcode 1060ST: 2250 EUR/m2 (200m2 E450000, woonhuis)
Postcode 1055CH: 3070 EUR/m2 (57m2 E175000, appartement)
Postcode 1098WK: 3313 EUR/m2 (83m2 E275000, appartement)
Postcode 1103AN: 2097 EUR/m2 (143m2 E300000, woonhuis)
Postcode 1087LG: 2960 EUR/m2 (76m2 E225000, appartement)
Postcode 1087LG: 3107 EUR/m2 (93m2 E289000, appartement)
Postcode 1087LG: 2956 EUR/m2 (93m2 E275000, appartement)
Postcode 1069RL: 2551 EUR/m2 (78m2 E199000, appartement)
Postcode 1052EZ: 4213 EUR/m2 (89m2 E375000, appartement)
Postcode 1102AV: 2311 EUR/m2 (69m2 E159500, appartement)
Postcode 1072BN: 5708 EUR/m2 (48m2 E274000, appartement)
Postcode 1054LA: 4878 EUR/m2 (41m2 E200000, appartement)
Postcode 1102AP: 1953 EUR/m2 (96m2 E187500, appartement)
Postcode 1087MS: 3284 EUR/m2 (88m2 E289000, appartement)
Postcode 1103SG: 2294 EUR/m2 (146m2 E335000, woonhuis)
Postcode 1103RH: 2060 EUR/m2 (182m2 E375000, woonhuis)
Postcode 1082NL: 3117 EUR/m2 (85m2 E265000, appartement)
Postcode 1086ZD: 2541 EUR/m2 (275m2 E699000, woonhuis)
Postcode 1078KX: 4513 EUR/m2 (113m2 E510000, appartement)
Postcode 1056KN: 4081 EUR/m2 (49m2 E200000, appartement)
Postcode 1082KJ: 3463 EUR/m2 (69m2 E239000, appartement)
Postcode 1024KW: 3915 EUR/m2 (166m2 E650000, woonhuis)
 - Running average after this page is 3711
Postcode 1095TL: 3839 EUR/m2 (56m2 E215000, appartement)
Postcode 1072EM: 6451 EUR/m2 (31m2 E200000, appartement)
Postcode 1072EM: 6451 EUR/m2 (31m2 E200000, appartement)
Postcode 1072EM: 6163 EUR/m2 (55m2 E339000, appartement)
Postcode 1104DN: 2256 EUR/m2 (82m2 E185000, appartement)
Postcode 1055AW: 3508 EUR/m2 (57m2 E200000, appartement)
Postcode 1103LC: 2380 EUR/m2 (50m2 E119000, appartement)
Postcode 1024VE: 2243 EUR/m2 (78m2 E175000, appartement)
Postcode 1055EN: 3590 EUR/m2 (50m2 E179500, appartement)
Postcode 1069TD: 3150 EUR/m2 (60m2 E189000, appartement)
Postcode 1053CM: 4055 EUR/m2 (54m2 E219000, appartement)
Postcode 1106ZM: 2393 EUR/m2 (94m2 E225000, woonhuis)
Postcode 1066DG: 2051 EUR/m2 (97m2 E199000, appartement)
Postcode 1066AX: 2200 EUR/m2 (125m2 E275000, appartement)
Postcode 1023AN: 3202 EUR/m2 (89m2 E285000, woonhuis)
Postcode 1025HZ: 1916 EUR/m2 (60m2 E115000, appartement)
Postcode 1024KL: 2252 EUR/m2 (115m2 E259000, woonhuis)
Postcode 1083JR: 3000 EUR/m2 (100m2 E300000, appartement)
Postcode 1057CN: 3436 EUR/m2 (55m2 E189000, appartement)
Postcode 1056DG: 3245 EUR/m2 (57m2 E185000, appartement)
Postcode 1018BT: 4638 EUR/m2 (83m2 E385000, appartement)
Postcode 1102JD: 2564 EUR/m2 (156m2 E400000, woonhuis)
Postcode 1086ZJ: 3225 EUR/m2 (93m2 E300000, appartement)
Postcode 1086ZJ: 3562 EUR/m2 (153m2 E545000, woonhuis)
Postcode 1086ZJ: 3125 EUR/m2 (80m2 E250000, appartement)
 - Running average after this page is 3676
Postcode 1087CH: 2669 EUR/m2 (103m2 E275000, appartement)
Postcode 1087CH: 2797 EUR/m2 (84m2 E235000, appartement)
Postcode 1087EN: 3048 EUR/m2 (123m2 E375000, appartement)
Postcode 1024PJ: 2122 EUR/m2 (106m2 E225000, appartement)
Postcode 1060PW: 2286 EUR/m2 (164m2 E375000, woonhuis)
Postcode 1018WA: 3933 EUR/m2 (165m2 E649000, appartement)
Postcode 1058JB: 3787 EUR/m2 (231m2 E875000, woonhuis)
Postcode 1054ZS: 4298 EUR/m2 (57m2 E245000, appartement)
Postcode 1065EG: 2360 EUR/m2 (125m2 E295000, appartement)
Postcode 1086ZM: 4857 EUR/m2 (175m2 E850000, woonhuis)
Postcode 1061XZ: 3011 EUR/m2 (86m2 E259000, appartement)
Postcode 1053ST: 4069 EUR/m2 (86m2 E350000, appartement)
Postcode 1056XJ: 3921 EUR/m2 (51m2 E200000, appartement)
Postcode 1086XZ: 3723 EUR/m2 (94m2 E350000, appartement)
Postcode 1053GS: 4185 EUR/m2 (81m2 E339000, appartement)
Postcode 1056CD: 4056 EUR/m2 (53m2 E215000, appartement)
Postcode 1056BS: 3971 EUR/m2 (107m2 E425000, appartement)
Postcode 1069RR: 2427 EUR/m2 (138m2 E335000, appartement)
Postcode 1019BK: 5254 EUR/m2 (114m2 E599000, appartement)
Postcode 1095DS: 3559 EUR/m2 (84m2 E299000, appartement)
Postcode 1087DR: 3000 EUR/m2 (93m2 E279000, appartement)
Postcode 1054PJ: 4333 EUR/m2 (75m2 E325000, appartement)
Postcode 1019DC: 4086 EUR/m2 (110m2 E449500, woonhuis)
Postcode 1024AN: 1968 EUR/m2 (80m2 E157500, appartement)
Postcode 1024AS: 1994 EUR/m2 (84m2 E167500, appartement)
 - Running average after this page is 3651
Postcode 1069KD: 2161 EUR/m2 (96m2 E207500, appartement)
Postcode 1035SR: 1863 EUR/m2 (110m2 E205000, woonhuis)
Postcode 1034WG: 2647 EUR/m2 (85m2 E225000, woonhuis)
Postcode 1087KN: 2797 EUR/m2 (84m2 E235000, appartement)
Postcode 1087KP: 2397 EUR/m2 (83m2 E199000, appartement)
Postcode 1087KP: 2426 EUR/m2 (82m2 E199000, appartement)
Postcode 1033DP: 2302 EUR/m2 (76m2 E175000, appartement)
Postcode 1035NC: 3804 EUR/m2 (92m2 E350000, woonhuis)
Postcode 1035ND: 4463 EUR/m2 (123m2 E549000, woonhuis)
Postcode 1035NL: 4903 EUR/m2 (104m2 E510000, woonhuis)
Postcode 1072SE: 4344 EUR/m2 (61m2 E265000, appartement)
Postcode 1024SP: 2547 EUR/m2 (53m2 E135000, appartement)
Postcode 1018KC: 3602 EUR/m2 (83m2 E299000, appartement)
Postcode 1095MA: 3120 EUR/m2 (208m2 E649000, woonhuis)
Postcode 1016EH: 7142 EUR/m2 (35m2 E250000, appartement)
Postcode 1027AP: 4597 EUR/m2 (87m2 E400000, woonhuis)
Postcode 1033WX: 2500 EUR/m2 (60m2 E150000, appartement)
Postcode 1087JB: 2870 EUR/m2 (135m2 E387500, appartement)
Postcode 1033PJ: 2542 EUR/m2 (59m2 E150000, appartement)
Postcode 1104MK: 2500 EUR/m2 (48m2 E120000, appartement)
Postcode 1033BG: 3750 EUR/m2 (56m2 E210000, woonhuis)
Postcode 1033BN: 2808 EUR/m2 (89m2 E250000, woonhuis)
Postcode 1075EA: 4642 EUR/m2 (252m2 E1170000, appartement)
Postcode 1056KS: 4354 EUR/m2 (31m2 E135000, appartement)
Postcode 1056KZ: 5000 EUR/m2 (23m2 E115000, appartement)
 - Running average after this page is 3632
Postcode 1104KR: 1730 EUR/m2 (130m2 E225000, woonhuis)
Postcode 1098SK: 3465 EUR/m2 (101m2 E350000, appartement)
Postcode 1060PJ: 2300 EUR/m2 (130m2 E299000, appartement)
Postcode 1106ZT: 1666 EUR/m2 (108m2 E180000, woonhuis)
Postcode 1035PS: 4545 EUR/m2 (66m2 E300000, woonhuis)
Postcode 1035KV: 2200 EUR/m2 (125m2 E275000, woonhuis)
Postcode 1035KV: 2360 EUR/m2 (125m2 E295000, woonhuis)
Postcode 1035KX: 2295 EUR/m2 (100m2 E229500, appartement)
Postcode 1069ED: 1983 EUR/m2 (60m2 E119000, appartement)
Postcode 1069EE: 2316 EUR/m2 (60m2 E139000, appartement)
Postcode 1069EE: 1992 EUR/m2 (70m2 E139500, appartement)
Postcode 1069EE: 2375 EUR/m2 (60m2 E142500, appartement)
Postcode 1069EG: 1916 EUR/m2 (60m2 E115000, appartement)
Postcode 1069EH: 2035 EUR/m2 (70m2 E142500, appartement)
Postcode 1069EH: 2075 EUR/m2 (60m2 E124500, appartement)
Postcode 1087SC: 4355 EUR/m2 (318m2 E1385000, woonhuis)
Postcode 1016RD: 7993 EUR/m2 (147m2 E1175000, woonhuis)
Postcode 1060NX: 2453 EUR/m2 (130m2 E319000, woonhuis)
Postcode 1108BA: 2038 EUR/m2 (65m2 E132500, appartement)
Postcode 1019MA: 4796 EUR/m2 (270m2 E1295000, appartement)
Postcode 1015GR: 4534 EUR/m2 (88m2 E399000, appartement)
Postcode 1087KA: 4857 EUR/m2 (246m2 E1195000, woonhuis)
Postcode 1072RE: 4104 EUR/m2 (67m2 E275000, appartement)
Postcode 1057ZM: 4464 EUR/m2 (84m2 E375000, appartement)
Postcode 1025SM: 2214 EUR/m2 (63m2 E139500, appartement)
 - Running average after this page is 3586
Postcode 1025SV: 2230 EUR/m2 (65m2 E145000, appartement)
Postcode 1060PL: 2627 EUR/m2 (110m2 E289011, woonhuis)
Postcode 1034CL: 2036 EUR/m2 (83m2 E169000, appartement)
Postcode 1016VT: 5637 EUR/m2 (124m2 E699000, appartement)
Postcode 1016VT: 6354 EUR/m2 (124m2 E788000, appartement)
